exfoliation_en,density,vpa,packing fraction,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
110.7191666666667,0.2070548689915086,164.32681368743008,0.013744747642354073,6.0,17.0,11.0,10.0,4.666666666666667,6.0,77.0,94.0,17.0,84.33333333333333,6.444444444444443,77.0,12.0107,35.453,23.442300000000003,20.490133333333336,9.975244444444447,12.0107,63.05,3823.0,3759.95,1352.55,1646.9666666666665,63.05,14.0,17.0,3.0,15.333333333333334,1.1111111111111114,14.0,2.0,3.0,1.0,2.3333333333333335,0.4444444444444445,2.0,71.0,102.0,31.0,83.0,12.666666666666666,71.0,2.55,3.16,0.6100000000000003,2.9166666666666665,0.2444444444444446,2.55,2.0,2.0,0.0,2.0,0.0,2.0,2.0,5.0,3.0,3.3333333333333335,1.1111111111111112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,5.333333333333333,1.111111111111111,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.6666666666666665,1.1111111111111112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.6666666666666665,1.1111111111111112,1.0,5.64,24.4975,18.857499999999998,14.96875,6.352499999999999,5.64,2.493,6.437,3.9440000000000004,4.475333333333334,1.3215555555555556,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,150.66666666666666,57.77777777777778,64.0
585.9625475,1.8425472482411696,98.94864906014764,0.0740826977225357,9.0,80.0,71.0,44.5,35.5,9.0,71.0,93.0,22.0,82.0,11.0,71.0,18.9984032,200.59,181.5915968,109.79420160000001,90.7957984,18.9984032,53.5,234.32,180.82,143.91,90.41,53.5,12.0,17.0,5.0,14.5,2.5,12.0,2.0,6.0,4.0,4.0,2.0,2.0,57.0,132.0,75.0,94.5,37.5,57.0,2.0,3.98,1.98,2.99,0.99,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.5,2.5,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,14.0,14.0,7.0,7.0,0.0,7.0,26.0,19.0,16.5,9.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,9.7075,25.2375862069,15.530086206900002,17.47254310345,7.765043103450001,9.7075,0.0,1.97,1.97,0.985,0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,166.0,151.0,90.5,75.5,15.0
61.175999999999675,1.4510287084505655,104.6996277919525,0.10509019852760512,16.0,66.0,50.0,39.0,18.0,16.0,31.0,95.0,64.0,71.33333333333333,26.88888888888889,31.0,32.065,162.5,130.435,91.48966666666666,47.34022222222222,32.065,265.8,1685.0,1419.2,779.7200000000001,603.52,265.8,3.0,17.0,14.0,12.0,6.0,3.0,3.0,6.0,3.0,4.333333333333333,1.111111111111111,3.0,105.0,192.0,87.0,139.0,35.333333333333336,105.0,1.22,2.96,1.74,2.2533333333333334,0.6888888888888888,1.22,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,6.0,17.0,11.0,11.666666666666666,3.777777777777778,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.3333333333333333,1.7777777777777777,0.0,1.0,4.0,3.0,2.3333333333333335,1.1111111111111112,1.0,25.786875,31.24,5.453125,28.835624999999997,2.032500000000001,25.786875,0.0,2.202,2.202,1.2196666666666667,0.8131111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,109.33333333333333,56.444444444444436,64.0
41.64333333333303,2.090851549831201,69.05074664938516,0.14349206408849213,8.0,67.0,59.0,36.666666666666664,20.22222222222222,8.0,33.0,95.0,62.0,71.66666666666667,25.777777777777775,33.0,15.9994,164.93032,148.93092,86.94457333333332,51.99049777777778,15.9994,54.8,1747.0,1692.2,689.1999999999999,705.1999999999999,54.8,3.0,17.0,14.0,12.0,6.0,3.0,2.0,6.0,4.0,4.0,1.3333333333333333,2.0,66.0,192.0,126.0,126.0,44.0,66.0,1.23,3.44,2.21,2.543333333333333,0.8755555555555556,1.23,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444445,0.0,0.0,11.0,11.0,3.6666666666666665,4.888888888888888,0.0,6.0,17.0,11.0,12.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.3333333333333333,0.0,1.0,3.0,2.0,2.0,0.6666666666666666,1.0,9.105,30.7333333333,21.6283333333,23.106111111100002,9.334074074066665,9.105,0.0,1.457,1.457,0.4856666666666667,0.6475555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,90.0,69.33333333333333,12.0
493.944575,0.6690416564883986,156.8915018518023,0.03933794752950254,14.0,33.0,19.0,28.25,7.125,33.0,78.0,84.0,6.0,82.5,2.25,84.0,28.0855,74.9216,46.8361,63.212574999999994,17.563537500000002,74.9216,1090.0,1687.0,597.0,1239.25,223.875,1090.0,14.0,15.0,1.0,14.75,0.375,15.0,3.0,4.0,1.0,3.75,0.375,4.0,111.0,119.0,8.0,117.0,3.0,119.0,1.9,2.18,0.28000000000000025,2.1100000000000003,0.10499999999999998,2.18,2.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,2.75,0.375,3.0,0.0,10.0,10.0,7.5,3.75,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,11.0,12.25,4.125,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.25,0.375,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.25,0.375,3.0,20.44,22.175,1.7349999999999994,21.74125,0.6506249999999998,22.175,0.0,0.773,0.773,0.19325,0.289875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,227.0,61.0,181.25,22.875,166.0
265.60800000000006,1.8727319994470712,185.30153724940524,0.0925911621321972,83.0,83.0,0.0,83.0,0.0,83.0,86.0,86.0,0.0,86.0,0.0,86.0,208.9804,208.9804,0.0,208.9804,0.0,208.9804,544.4,544.4,0.0,544.4,0.0,544.4,15.0,15.0,0.0,15.0,0.0,15.0,6.0,6.0,0.0,6.0,0.0,6.0,148.0,148.0,0.0,148.0,0.0,148.0,2.02,2.02,0.0,2.02,0.0,2.02,2.0,2.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,10.0,10.0,0.0,10.0,0.0,10.0,14.0,14.0,0.0,14.0,0.0,14.0,29.0,29.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,32.95,32.95,0.0,32.95,0.0,32.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,0.0,12.0
88.73911666666667,1.7853579164807707,142.92621624217992,0.11058644188326397,53.0,82.0,29.0,62.666666666666664,12.888888888888888,53.0,81.0,96.0,15.0,91.0,6.666666666666667,96.0,126.90447,207.2,80.29552999999999,153.66964666666667,35.686902222222216,126.90447,386.85,600.61,213.76,458.1033333333333,95.00444444444442,386.85,14.0,17.0,3.0,16.0,1.3333333333333333,17.0,5.0,6.0,1.0,5.333333333333333,0.44444444444444436,5.0,139.0,146.0,7.0,141.33333333333334,3.1111111111111143,139.0,2.33,2.66,0.33000000000000007,2.5500000000000003,0.14666666666666664,2.66,2.0,2.0,0.0,2.0,0.0,2.0,2.0,5.0,3.0,4.0,1.3333333333333333,5.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,17.0,28.0,11.0,20.666666666666668,4.888888888888889,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.3333333333333333,1.0,28.11,43.015,14.905000000000001,38.04666666666667,6.624444444444445,43.015,0.0,1.062,1.062,0.7080000000000001,0.472,1.062,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,117.66666666666667,71.55555555555556,64.0
124.94709999999998,1.770868445866952,122.80852745910798,0.08700771741361892,34.0,83.0,49.0,53.6,23.52,34.0,86.0,89.0,3.0,87.8,1.4400000000000006,89.0,78.96,208.9804,130.0204,130.96815999999998,62.409792,78.96,494.0,544.4,50.39999999999998,514.1600000000001,24.192000000000007,494.0,15.0,16.0,1.0,15.6,0.4800000000000001,16.0,4.0,6.0,2.0,4.8,0.96,4.0,120.0,148.0,28.0,131.2,13.439999999999998,120.0,2.02,2.55,0.5299999999999998,2.338,0.25439999999999985,2.55,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6,0.48,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,5.6,6.719999999999999,0.0,16.0,29.0,13.0,21.2,6.24,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,25.92,32.95,7.030000000000001,28.732000000000006,3.3744000000000014,25.92,0.0,0.799,0.799,0.47940000000000005,0.38352,0.799,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,2.0,13.2,0.9600000000000002,14.0
93.97281818181824,1.3486578302370973,97.34844033459822,0.10095494272465641,16.0,81.0,65.0,34.0,20.0,16.0,76.0,88.0,12.0,84.36363636363636,3.966942148760331,88.0,32.065,204.3833,172.3183,79.06452727272728,52.7787305785124,32.065,388.36,1090.0,701.64,560.84,198.2981818181818,388.36,13.0,16.0,3.0,15.090909090909092,0.9917355371900826,16.0,3.0,6.0,3.0,3.909090909090909,0.9917355371900828,3.0,105.0,145.0,40.0,117.9090909090909,14.082644628099173,105.0,1.62,2.58,0.96,2.2763636363636364,0.3312396694214876,2.58,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,3.090909090909091,0.9917355371900828,4.0,0.0,10.0,10.0,4.545454545454546,4.958677685950414,0.0,0.0,14.0,14.0,2.5454545454545454,4.1652892561983474,0.0,6.0,27.0,21.0,12.181818181818182,6.743801652892563,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.909090909090909,0.9917355371900828,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.909090909090909,0.9917355371900828,2.0,22.175,33.285,11.109999999999996,26.016022727272727,1.646714876033058,25.786875,0.0,2.202,2.202,1.201090909090909,1.091900826446281,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,116.45454545454545,50.67768595041323,70.0
84.6315125,2.093148749362192,109.82363206541429,0.0759245559866055,35.0,79.0,44.0,57.0,22.0,35.0,66.0,95.0,29.0,80.5,14.5,66.0,79.904,196.966569,117.062569,138.4352845,58.5312845,79.904,265.8,1337.33,1071.53,801.5649999999999,535.7649999999999,265.8,11.0,17.0,6.0,14.0,3.0,11.0,4.0,6.0,2.0,5.0,1.0,4.0,120.0,136.0,16.0,128.0,8.0,120.0,2.54,2.96,0.41999999999999993,2.75,0.20999999999999996,2.54,1.0,2.0,1.0,1.5,0.5,1.0,0.0,5.0,5.0,2.5,2.5,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,7.0,7.0,0.0,17.0,25.0,8.0,21.0,4.0,17.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16.7,29.48,12.780000000000001,23.09,6.390000000000001,16.7,0.0,1.457,1.457,0.7285,0.7285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,144.5,80.5,64.0
107.79149999999981,2.0635578631178486,70.17912440635482,0.12868544254310604,8.0,83.0,75.0,36.5,28.5,8.0,65.0,87.0,22.0,81.25,8.125,87.0,15.9994,208.9804,192.981,87.21185000000001,71.21245,15.9994,54.8,1234.93,1180.13,472.23249999999996,417.4325,54.8,11.0,16.0,5.0,14.5,1.75,16.0,2.0,6.0,4.0,3.75,1.75,2.0,66.0,148.0,82.0,106.25,40.25,66.0,1.93,3.44,1.51,2.7075,0.7324999999999999,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.75,1.375,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,14.0,14.0,3.5,5.25,0.0,6.0,29.0,23.0,13.0,8.0,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,3.0,3.0,1.75,0.875,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.5,2.0,9.105,32.95,23.845000000000002,16.872500000000002,8.038750000000002,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,65.25,79.875,12.0
90.7739333333335,1.755790538533501,133.26979126239505,0.11364760590088285,53.0,69.0,16.0,58.333333333333336,7.111111111111112,53.0,37.0,96.0,59.0,76.33333333333333,26.222222222222225,96.0,126.90447,168.93421,42.029740000000004,140.91438333333335,18.67988444444445,126.90447,386.85,1818.0,1431.15,863.9,636.0666666666666,386.85,3.0,17.0,14.0,12.333333333333334,6.222222222222221,17.0,5.0,6.0,1.0,5.333333333333333,0.44444444444444436,5.0,139.0,190.0,51.0,156.0,22.666666666666668,139.0,1.25,2.66,1.4100000000000001,2.19,0.6266666666666668,2.66,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,5.0,0.0,10.0,10.0,6.666666666666667,4.444444444444444,10.0,0.0,13.0,13.0,4.333333333333333,5.777777777777779,0.0,15.0,17.0,2.0,16.333333333333332,0.8888888888888893,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,1.0,1.0,0.0,1.0,0.0,1.0,29.78,43.015,13.235,38.60333333333333,5.8822222222222225,43.015,0.0,1.062,1.062,0.7080000000000001,0.472,1.062,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,107.33333333333333,57.77777777777777,64.0
83.68149999999997,1.9613480707519786,95.63207427705254,0.08892171145274948,34.0,73.0,39.0,47.0,17.333333333333332,34.0,48.0,89.0,41.0,75.33333333333333,18.222222222222225,89.0,78.96,180.94788,101.98788,112.95596,45.32794666666667,78.96,494.0,3290.0,2796.0,1426.0,1242.6666666666667,494.0,5.0,16.0,11.0,12.333333333333334,4.888888888888888,16.0,4.0,6.0,2.0,4.666666666666667,0.888888888888889,4.0,120.0,170.0,50.0,136.66666666666666,22.222222222222218,120.0,1.5,2.55,1.0499999999999998,2.1999999999999997,0.4666666666666666,2.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,3.0,10.0,7.0,7.666666666666667,3.1111111111111107,10.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,16.0,19.0,3.0,17.0,1.3333333333333333,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,7.0,7.0,2.3333333333333335,3.1111111111111107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.6666666666666665,2.222222222222222,2.0,18.12,25.92,7.800000000000001,23.320000000000004,3.4666666666666663,25.92,0.0,0.799,0.799,0.5326666666666667,0.3551111111111111,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,229.0,215.0,85.66666666666667,95.55555555555554,14.0
66.81390000000009,2.3343160697176364,93.16550958201046,0.11469147435660003,34.0,83.0,49.0,53.6,23.52,34.0,86.0,89.0,3.0,87.8,1.4400000000000006,89.0,78.96,208.9804,130.0204,130.96815999999998,62.409792,78.96,494.0,544.4,50.39999999999998,514.1600000000001,24.192000000000007,494.0,15.0,16.0,1.0,15.6,0.4800000000000001,16.0,4.0,6.0,2.0,4.8,0.96,4.0,120.0,148.0,28.0,131.2,13.439999999999998,120.0,2.02,2.55,0.5299999999999998,2.338,0.25439999999999985,2.55,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6,0.48,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,5.6,6.719999999999999,0.0,16.0,29.0,13.0,21.2,6.24,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,25.92,32.95,7.030000000000001,28.732000000000006,3.3744000000000014,25.92,0.0,0.799,0.799,0.47940000000000005,0.38352,0.799,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,2.0,13.2,0.9600000000000002,14.0
